method,n,sim_id,component,mu_true,mu_hat,ci_lower,ci_upper,covered,elapsed_time
Gibbs,100,109,2,5,5.206830592912138,4.798677565688163,5.610779889235346,1,23.363
Gibbs,100,109,3,10,9.703629848702088,9.307715504809387,10.115038925606012,1,23.363
Gibbs,100,109,4,20,19.837096572769862,19.441413322669373,20.233086613718637,1,23.363
VB,100,109,1,0,-0.15157384637580593,-0.5688763753062827,0.26572868255467075,1,0.06700000000000017
VB,100,109,2,5,5.198038801134523,4.8190309094041535,5.577046692864892,1,0.06700000000000017
VB,100,109,3,10,9.701692387164004,9.326061974786978,10.07732279954103,1,0.06700000000000017
VB,100,109,4,20,19.83289641657481,19.432896416575147,20.23289641657447,1,0.06700000000000017
Gibbs,100,11,1,0,0.0513362580880102,-0.41013243658158927,0.5192084778872275,1,16.328
Gibbs,100,11,2,5,5.010776984057982,4.607417127989409,5.4271482948410386,1,16.328
Gibbs,100,11,3,10,9.76129016679474,9.35247076527448,10.159451556497936,1,16.328
Gibbs,100,11,4,20,20.132366787694377,19.78483051294382,20.48402482373961,1,16.328
VB,100,11,1,0,0.05013957857923257,-0.3885397976146289,0.48881895477309406,1,0.0470000000000006
VB,100,11,2,5,5.0110912017527145,4.627245665392246,5.394936738113183,1,0.0470000000000006
VB,100,11,3,10,9.7622507727757,9.362116453098553,10.162385092452851,1,0.0470000000000006
VB,100,11,4,20,20.133232113935406,19.7754463356934,20.491017892177418,1,0.0470000000000006
Gibbs,100,110,1,0,0.00558456184299047,-0.3933477835707114,0.4120696766616297,1,23.511
Gibbs,100,110,2,5,4.956462661069007,4.474213844136069,5.4250570846941875,1,23.511
Gibbs,100,110,3,10,10.28607532934396,9.842546502067677,10.736323253360643,1,23.511
Gibbs,100,110,4,20,19.922633113777778,19.583073827230265,20.25903626683418,1,23.511
VB,100,110,1,0,0.00518353889213644,-0.380418123792329,0.3907852015766019,1,0.06799999999999784
VB,100,110,2,5,4.956993174115642,4.514713001833764,5.3992733463975195,1,0.06799999999999784
VB,100,110,3,10,10.286648675127887,9.854331991091003,10.71896535916477,1,0.06799999999999784
VB,100,110,4,20,19.92420254602661,19.58811474019099,20.26029035186223,1,0.06799999999999784
Gibbs,100,111,1,0,-0.11983069965381474,-0.5451496227450575,0.2977784018415439,1,23.42
Gibbs,100,111,2,5,4.973624015510171,4.594337145129306,5.3454794669834715,1,23.42
Gibbs,100,111,3,10,9.826345057029563,9.326187071848215,10.320485680275434,1,23.42
Gibbs,100,111,4,20,19.91187394970916,19.54632856360461,20.288163832325665,1,23.42
VB,100,111,1,0,-0.12173434607415032,-0.5267464272865158,0.2832777351382151,1,0.06799999999999784
VB,100,111,2,5,4.972030061258402,4.624593911746119,5.319466210770686,1,0.06799999999999784
VB,100,111,3,10,9.831550023644128,9.366803153324234,10.296296893964024,1,0.06799999999999784
VB,100,111,4,20,19.91505436162617,19.537922018612985,20.292186704639352,1,0.06799999999999784
Gibbs,100,112,1,0,-0.1557465442755416,-0.5470123329311111,0.2505678343710948,1,23.586
Gibbs,100,112,2,5,4.994560299880267,4.549310370437127,5.453797645578015,1,23.586
